iter	Logloss
0	0.6573189058
1	0.6307828715
2	0.603786984
3	0.5844939807
4	0.5658562023
5	0.5471868596
6	0.527572253
7	0.5120029487
8	0.5003643625
9	0.4868056523
10	0.4772190451
11	0.4702846907
12	0.462243587
13	0.4517726004
14	0.4432272002
15	0.4357164171
16	0.430001184
17	0.4208269881
18	0.4159385216
19	0.4115153317
20	0.4055508531
21	0.4013627937
22	0.3975423263
23	0.3935014495
24	0.3889206805
25	0.3874393302
26	0.386888416
27	0.3841125808
28	0.3808293784
29	0.3807660932
30	0.3777558082
31	0.3738982916
32	0.3715793682
33	0.3706562504
34	0.3675255314
35	0.3657179439
36	0.3657162144
37	0.3636132743
38	0.3619999077
39	0.3603361482
40	0.3580931887
41	0.3551270978
42	0.3529773743
43	0.3502102151
44	0.350040949
45	0.3484263186
46	0.3454392519
47	0.3432659792
48	0.3401935489
49	0.3386571265
50	0.3382414617
51	0.3376713029
52	0.3367006652
53	0.3341534114
54	0.3324798215
55	0.3306545308
56	0.3287071987
57	0.3273812906
58	0.3258191439
59	0.3241372792
60	0.3235750647
61	0.3210587314
62	0.320689048
63	0.3193316522
64	0.317614285
65	0.3162528567
66	0.3146635352
67	0.314237643
68	0.3142204384
69	0.3131566147
70	0.3097332331
71	0.307779435
72	0.3056917342
73	0.3031321503
74	0.3025594267
75	0.3002435313
76	0.2989779066
77	0.2966391638
78	0.2952409034
79	0.2947503484
80	0.2907263358
