iter	Passed	Remaining
0	232	231802
1	271	135288
2	328	109267
3	354	88383
4	407	81178
5	498	82651
6	593	84183
7	653	80992
8	687	75652
9	740	73300
10	783	70429
11	865	71230
12	928	70473
13	996	70189
14	1054	69265
15	1107	68116
16	1135	65649
17	1188	64818
18	1263	65212
19	1311	64245
20	1385	64603
21	1443	64163
22	1522	64669
23	1601	65109
24	1662	64830
25	1700	63718
26	1725	62191
27	1777	61707
28	1865	62474
29	1888	61052
30	1967	61494
31	2026	61314
32	2111	61873
33	2168	61597
34	2221	61248
35	2296	61495
36	2319	60359
37	2385	60386
38	2432	59947
39	2487	59694
40	2544	59526
41	2599	59288
42	2650	58999
43	2704	58752
44	2728	57897
45	2785	57775
46	2838	57558
47	2891	57344
48	2943	57133
49	2976	56560
50	3017	56144
51	3049	55588
52	3104	55462
53	3156	55298
54	3211	55172
55	3267	55072
56	3319	54924
57	3373	54791
58	3437	54829
59	3504	54903
60	3558	54774
61	3609	54614
62	3683	54787
63	3735	54632
64	3800	54665
65	3861	54642
66	3915	54523
67	3933	53911
68	4027	54348
69	4076	54161
70	4125	53974
71	4173	53788
72	4228	53699
73	4277	53522
74	4326	53362
75	4374	53184
76	4424	53037
77	4474	52895
78	4521	52716
79	4561	52456
80	4610	52309
